G1,G2,G3
14,11,12
11,11,11
9,8,8
10,9,11
14,13,14
13,12,13
13,12,13
13,12,12
12,11,12
14,14,16
10,8,10
10,11,11
12,13,14
10,8,8
12,10,11
7,7,8
9,9,10
9,9,10
9,10,11
9,10,9
9,10,11
7,7,8
11,10,11
9,10,10
7,9,10
7,9,9
8,9,10
9,11,10
7,8,9
8,10,10
9,9,10
8,9,9
14,13,13
14,14,14
10,11,10
14,13,14
17,16,16
6,7,7
14,12,13
10,8,9
14,14,14
12,13,13
11,11,11
11,9,10
11,11,10
10,9,9
16,17,18
15,17,17
11,9,10
7,7,7
8,6,8
7,6,7
9,8,10
14,16,16
14,14,15
8,5,8
8,7,0
6,8,8
8,10,10
8,8,8
5,6,6
7,9,8
15,14,16
13,14,14
10,9,10
9,9,9
11,11,11
7,10,9
10,10,10
9,7,8
14,15,16
11,12,12
9,11,10
13,14,14
12,13,12
11,11,11
9,10,10
9,11,11
11,9,11
10,11,12
9,9,8
12,11,12
8,9,8
13,15,16
10,11,11
11,10,11
17,18,18
12,13,13
13,14,13
9,9,10
11,11,12
10,11,10
13,14,13
9,10,11
7,9,10
8,13,10
12,12,13
10,9,10
10,9,10
11,13,12
7,0,0
11,9,10
10,10,9
9,7,9
4,0,0
6,11,9
4,8,8
7,8,8
8,9,9
5,5,7
7,9,10
8,11,10
10,11,10
9,10,11
10,9,11
8,9,10
9,10,9
8,9,10
6,8,8
6,8,7
8,6,0
10,11,11
8,7,8
8,8,0
7,6,8
8,10,9
7,10,10
7,8,7
12,13,14
11,12,13
12,13,14
18,18,18
17,17,17
17,18,18
9,0,0
10,11,11
12,13,14
12,13,14
8,8,10
11,12,13
5,0,0
9,10,10
5,0,0
18,18,18
11,11,12
8,10,11
11,11,12
8,0,0
14,14,15
10,11,11
10,10,10
12,12,12
15,14,15
14,13,14
19,17,18
16,15,15
13,12,13
15,14,15
13,13,13
8,10,9
15,16,16
8,8,9
10,10,10
7,5,0
9,10,10
10,11,12
7,8,9
15,17,17
10,11,12
7,8,9
13,14,14
16,16,16
8,9,9
17,18,19
7,7,0
14,15,16
5,8,0
7,7,0
14,17,15
6,9,11
7,9,10
10,11,10
15,15,16
11,12,9
10,10,10
10,11,11
